,label,feature,score
129,US_UK,['L1.JP_US'],0.0168734701882
130,US_UK,['L1.Oil_Price'],0.0166135833873
131,US_UK,['L1.US_EU_LIBOR'],0.0163683443546
132,US_UK,['L1.US_UK_LIBOR'],0.0166340275219
133,US_UK,['L1.US_JP_LIBOR'],0.0162267534169
134,US_UK,"['L1.US_EU', 'L1.US_UK']",0.0145212318059
135,US_UK,"['L1.US_EU', 'L1.JP_US']",0.0156441205145
136,US_UK,"['L1.US_EU', 'L1.Oil_Price']",0.0154705811911
137,US_UK,"['L1.US_EU', 'L1.US_EU_LIBOR']",0.0151239114597
138,US_UK,"['L1.US_EU', 'L1.US_UK_LIBOR']",0.0153705358078
139,US_UK,"['L1.US_EU', 'L1.US_JP_LIBOR']",0.0150736646215
140,US_UK,"['L1.US_UK', 'L1.JP_US']",0.0147922640792
141,US_UK,"['L1.US_UK', 'L1.Oil_Price']",0.0144109710175
142,US_UK,"['L1.US_UK', 'L1.US_EU_LIBOR']",0.0142983094096
143,US_UK,"['L1.US_UK', 'L1.US_UK_LIBOR']",0.0144719112471
144,US_UK,"['L1.US_UK', 'L1.US_JP_LIBOR']",0.0142460179622
145,US_UK,"['L1.JP_US', 'L1.Oil_Price']",0.0158136422072
146,US_UK,"['L1.JP_US', 'L1.US_EU_LIBOR']",0.0155633729838
147,US_UK,"['L1.JP_US', 'L1.US_UK_LIBOR']",0.0160283299456
148,US_UK,"['L1.JP_US', 'L1.US_JP_LIBOR']",0.0153630901101
149,US_UK,"['L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0153245256851
150,US_UK,"['L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0156004873772
151,US_UK,"['L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0152801607481
152,US_UK,"['L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0158341166093
153,US_UK,"['L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0156161878601
154,US_UK,"['L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0157414985416
155,US_UK,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US']",0.014546172035
156,US_UK,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price']",0.0143665334504
157,US_UK,"['L1.US_EU', 'L1.US_UK', 'L1.US_EU_LIBOR']",0.0141171214045
158,US_UK,"['L1.US_EU', 'L1.US_UK', 'L1.US_UK_LIBOR']",0.0142700471373
159,US_UK,"['L1.US_EU', 'L1.US_UK', 'L1.US_JP_LIBOR']",0.0140823726049
160,US_UK,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price']",0.0151245852456
161,US_UK,"['L1.US_EU', 'L1.JP_US', 'L1.US_EU_LIBOR']",0.0147423262234
162,US_UK,"['L1.US_EU', 'L1.JP_US', 'L1.US_UK_LIBOR']",0.0150775241853
163,US_UK,"['L1.US_EU', 'L1.JP_US', 'L1.US_JP_LIBOR']",0.0146759738448
164,US_UK,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0147266968817
165,US_UK,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0148836835245
166,US_UK,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0146213835675
167,US_UK,"['L1.US_EU', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0148359820255
168,US_UK,"['L1.US_EU', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0147302329537
169,US_UK,"['L1.US_EU', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0148034322899
170,US_UK,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price']",0.0144605235672
171,US_UK,"['L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR']",0.0143388614677
172,US_UK,"['L1.US_UK', 'L1.JP_US', 'L1.US_UK_LIBOR']",0.014497490938
173,US_UK,"['L1.US_UK', 'L1.JP_US', 'L1.US_JP_LIBOR']",0.0142415687921
174,US_UK,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0142268821064
175,US_UK,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0143322068202
176,US_UK,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0141450666302
177,US_UK,"['L1.US_UK', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0142295791093
178,US_UK,"['L1.US_UK', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0141628241764
179,US_UK,"['L1.US_UK', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0142343405862
180,US_UK,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0150643236686
181,US_UK,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0153611227131
182,US_UK,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0149379247769
